ank	अंक
eksath	एकस्थ
ekaki	इककी
xm	एक्सम
egmor	एजमर
egmore	एजमोर
aj	आज
agende	एजेंड
adp	एडीपी
adain	अदान
aden	अडेन
edan	ईडन
addi	अद्दी
eddi	एड्डी
eddie	एड्डी
eddy	एड्डी
apj	अपज
ftii	फ्टी
abbott	अबबोट
abut	अबूत
ebt	ईबीएटी
abvp	अब्ल्ड
abbot	अबब्टू
abbott	अबबोट
mta	एमएटए
mtake	मटके
mtec	मेट्स
mtech	मीथेक
emerald	इमरल्ड
emrald	एमराल्ड
emil	एमील
emile	एमील
emily	एमीली
amy	अम्य
emi	एमी
airway	एयरवाए
eyarave	एयरवे
eyarve	एयरवे
error	एर्रो
arica	एरिका
erica	एरिका
erika	एरिका
aerobic	एयरोबिक
aerobics	एयरोबिक्स
lte	एटीसी
lti	लीटी
allergic	एल्रिल्डिंग
eliminator	एलीमनियरट
aliens	एलियंस
alliance	एलायंस
asian	एसियान
sfc	एससीएफ
sk	एसकी
spf	एसपीपीए
association	एसोसिएशन
astar	अस्तर
aster	अस्ट्र
ester	एस्टर
aesthetics	एश्टेक्टिक्स
asthetic	एस्थेटिक
asfalt	असफल्त
asphalt	अस्पल्त
asphault	अस्पुलत
ahsaas	अहसास
ehsaas	एहसास
ehsas	एहसास
aisa	आईसा
eesa	आईसा
ainth	ऐंठ
end	एंड
enth	ईंथ
ainthey	ऐंठे
enthe	ऐंठे
aithan	ऐंठन
ethan	ऐंठन
ethhan	ऐंठन
ail	आईल
el	एल
alaps	अल्पस
alps	अल्प्स
aise	आईस
oxide	ऑक्सीड
oxy	ऑक्सी
offers	ऑफर्स
offshor	ऑफ्शर
offshore	ऑफ्फर्श
official	ऑफिसिल
okalahoma	ओटलाहा
oklahoma	ओटल्लाहा
oklahoma	ओटल्लाहा
ot	ओटी
opel	ओपल
obrayan	ओब्रेयन
obrien	ओबरिन
oran	ओरन
orian	ओरियान
orion	ओरियन
olavrishti	ओलविर्धित
ovum	ओवम
owem	ओवम
oceanic	ऑक्यांसिक
osaka	ओसका
auchity	ऑचिटी
auchitya	ऑचित्या
audhyogikaran	औद्योगुतिकार
audyogikarana	औद्योगिकारणा
audyogikikaran	औद्योबितिकारण
aurangabad	औरांगबाद
aurora	यूरोड़ा
aulakh	औलख
kankad	कांकड
kankar	कांकर
kankad	कांकड
kankar	कांकर
kangan	कांगन
conjunction	कांजुक्निटन
contemporary	कंट्पीरेब्रोम
kanthahar	कंठाहार
kanthhar	कंठहर
composer	कंपोर्स
kambalon	कांबलों
kanblon	कांबलों
consultant	कंसल्टांट
kakkad	कक्कड़
kakkar	कक्कर
kacche	कच्छे
kachche	कच्छे
karta	करता
katra	कतरा
cutlery	कलेरी
katlari	कत्लारा
katlary	कतलराय
katasaraj	कतसराज
kathfodave	कथोफदवे
kathfodve	कथफ्वेद
kathor	कटोर
kathore	कथोर
kanika	कनिका
kathai	कथाई
katthai	कट्ठाई
katthaii	कट्ठाई
convention	कन्वेशन
canals	कनैल्स
kanaal	कनाल
kanal	कनाल
kanindham	कनींधन
kaningham	कनिंघम
kanishthika	कनिष्ठिका
kanishthikaa	कनिष्ठिका
kanishtika	कनिष्तिका
kanyaayen	कन्यायन
kanyaein	कनाएं
kanyayen	कन्यायां
convention	कन्वेशन
convocation	कनिवेक्शन
cup	कप
kap	कप
kapda	कपड़ा
kpada	कपाड़ा
kapdo	कपडो
kapdon	कपड़ों
kaping	कपिंग
kping	कपिंग
kapolkalpana	कपोलोक्वना
kabaddi	कबाड़ुगी
kabr	कब्र
kabra	काबरा
kabren	कबरें
kabron	कबरों
kamjor	कमजोर
kamzor	कमजोर
kamatar	कमातर
kamtar	कमतार
kalamjeet	कल्मजित
kamaljeet	कमलजीत
kamaauu	कमाऊ
kamau	कमाऊ
kamaate	कमाते
kamate	कमते
kamere	कमेरे
kmere	केमरे
karanj	करणज
kranj	क्रांज
karanjiya	करणजिया
kardhe	कर्धे
karghe	कर्घे
karachana	कराचना
karchhana	कर्चहना
karna	करना
karpatri	कर्पतरी
karam	कराम
karoor	करूर
karur	करूर
karnataka	कर्णतका
karvi	करवी
kurvi	कुर्वी
kalmein	कालमें
kalmen	कालमें
kalraj	कलराज
kalika	कालिका
kalpanaon	कल्पनाओं
kalpnaon	कल्पनाओं
kavvaliyon	कव्वालियों
qawwaliyon	कवालायिनी
kavvali	कववाली
qawwali	कववाली
kashton	कष्टों
kasarat	कसरत
kasrat	कसरत
kasara	कसरा
kasida	कसीदा
kahane	कहाने
kahne	कहने
kahlaya	कहलाया
kahaniyon	कहानियों
kile	किले
kanji	कांजी
cant	केंट
kant	कांट
kanti	कांटी
kakoo	काकू
kaku	काकू
kaagaj	कागज
kaagaz	काग़ज़
kagaj	कागज
kagaz	काग़ज़
kaaji	काज़ी
kaji	काजी
kazi	काज़ी
ank	अंक
anka	अंका
ankit	अंकीत
anakon	अनाकों
ankhon	अंखों
ankon	अंकों
angkor	अंगकोर
ankor	अंकोर
angaarak	अंगरक
angarak	अंगरक
angraji	अंग्रजी
angreji	अंग्रजी
angrzi	अंग्रजी
antah	अंताह
antaha	अंताहा
antarmukh	अंतरमुख्य
antmurkh	अंतमुर्ख
antrmukh	अंतरमुखी
andrabee	अंद्रबी
andrabi	अंद्रबी
andha	अंधा
andhapan	अंधपन
andheri	अंधेरी
ambaani	अंबनी
ambani	अंबनी
akram	अक्रम
acapulco	अकैपूल्क
akapulko	अकापुलको
akhand	अखंड
akhil	आखिल
agavai	अगवाई
agvaai	अगवाई
augustine	आगूस्थीन
augustustine	आगस्ट्शसन
agsta	अगस्ता
agusta	अगूसता
augusta	आगूस्ता
agr	एगर
agra	आगरा
achambha	अचंभा
achanbha	अखंछा
achievement	आखिवेमेंट
achivement	आखिवेंटें
acchi	अच्छि
achchi	अच्छी
achhi	अची
achyut	अच्छुत
achhanera	अच्छानेर
achnera	आच्नेरा
ajmeedh	आजमीद
ajhar	आभर
azhar	आजहर
ajit	आजीत
agnat	अग्नत
agyaat	अज्ञात
agyat	अज्ञात
atakta	अटकता
atkata	अटकाता
atake	अटके
atke	अटके
atwaal	अटवाल
atwal	अटवाल
attahasa	अत्हासा
atthaas	अत्थास
atthas	अत्थास
addon	अड़ों
athak	अठक
atharv	अठर्व
atharva	अठर्व
adad	आदाद
adaani	अदानी
adani	अदानी
advait	आदवाति
adwait	आडवाईट
advaitvaad	आदवावताद
advaitwad	आदवावत्याद
adhivas	अधिवास
adhiwas	अधिवास
advivas	आदविवास
adhiik	अधिक
adhik	अधिक
adhyayanarat	अध्यायनार्त
adhyayanrat	अध्ययनार्त
adhyaynrat	अध्ययन्रत
anant	अनंत
ananti	आनंति
angadh	अंगद
angarh	अंगारह
anchahe	अंचाहे
anthak	अंथक
unthak	उंतक
anhoni	अन्होंही
anaavashyak	अनावाश्यक
anavashyak	अनावाश्यक
anavshyak	अनावश्यक
anawashyak	अनावाश्यक
anik	अनिक
anishwarvadi	अनिश्वरवादी
anishwarwadi	अनिश्वरवादी
anukoltha	अनुकूल्ठा
anukulata	अनुकूलता
anukulta	अनुकूलता
anuchit	अनुचित
anuprayogi	अनुपारकियों
anuprayogon	अनुप्रयोगों
anupryogon	अनुप्रकोयों
anureet	अनुरीत
anurit	अनुरीत
anuthi	अनुथी
anudit	अनुदित
anyaay	अन्याय
anyay	अन्यय
anyaya	अन्याय
apnani	अपनानी
aparivartanshali	अपरिवर्तनशाली
aparivartansheel	अपरिवर्तनशील
aparivartanshil	अपरिवर्तनशील
apariharya	अपरिहार्य
aprihary	अप्रेहरी
apriyary	अप्रियारी
apavartit	अपवर्तित
apvartit	अपवर्तित
apvtrit	अपवत्रित
apaardarshi	अपारदर्शी
apardarshi	अपरदर्शी
afroj	अफ्रोज
afroz	अफ्रोज
africa	अफ्रिका
abbaasi	अब्बासी
abbasi	अब्बासी
abhimat	अभिमत
abhishap	अभिशाप
abhi	अभी
amjhera	अमझारे
amzera	अम्जेरा
amargad	अमरगढ़
amargarh	अमरागढ़
amarpaal	अमरपाल
amarpal	अमरपाल
amarohi	अमारोही
amrohi	अमरोही
amaanat	अमानत
amanat	अमानत
amanth	अमांत
amaanati	अमानती
amanathi	अमानाथी
amanati	अमानती
amavasya	अमवाश्य
amavsya	अमावस्य
amit	अमित
amitao	अमिता
amitav	अमिताव
amuk	आमूक
amogh	अमोग
ambani	अंबनी
ayodhyaanaath	अयाधियानत
ayodhyanaath	अयोध्यानत
ayodhyanath	अयोध्यानत
ayodhyeanath	अयोधियानत
aradas	अरादास
ardaas	अर्दास
ardas	अर्दस
arabab	अरबब
arbab	अरबब
around	अरोंड
arjent	अरेजेंट
urgent	अर्गेंट
arth	आर्थ
artha	अर्था
earth	इर्थ
earthquake	इर्थकूका
arthon	आर्थों
arpit	एर्पिट
aryama	आर्यामा
aryma	आर्यम
arymaa	आर्माया
alankaar	अलंकर
alankar	अलंकर
alnkaar	अलंकार
alankaaron	अलंकरों
alankaron	अलंकरों
alnkaaron	अलंकरों
alnkaron	अलंकरों
alagavavadi	अलंगववादी
algavvadi	अल्लावदवी
algavwaadi	अल्लावदवि
alive	अलीवे
alance	एलंस
alayans	अलायंस
aliance	एलाइंस
alind	अलिंड
alai	अलाई
ali	एली
alii	अली
alonso	आलोंसों
aloso	आलोसों
alphabet	अल्फबेत
alba	अलबा
avantipur	अवंतपुरु
awantipora	अवनतीपुर्ता
avaru	आवारू
avru	अवृ
awaru	आवारू
avarodhak	आवरूद्कक
avrodhak	अवरोधक
avrodhk	अवरूद्क
avarnata	आवरणता
avarnataa	आवर्णता
avranta	अवरंता
avashist	अवशीस्त
avshisht	अवशीष्ट
awashist	अवशिस्त
avasthaayen	अवस्थायन
avsthaen	अवस्थाएं
avsthayen	अवस्थाएं
awasthaen	अवस्थाएं
avi	अवी
avika	अविका
aviral	अविराल
avirl	एविर्ल
avishvaasniy	अविश्वरियी
avishvasniy	अविश्वनियी
avishvasniya	अविश्रविनय
avisvasniya	अविस्रविनय
aviva	अविवा
avaigyanic	अवैज्ञानिक
avaigyanik	अवैज्ञानिक
avegyanik	अवैग्ञानिक
ashaktataa	आशाकताता
ashktta	अष्कताता
asharaphi	अशापृह
ashrafi	आश्रफी
ashariri	आशारीरी
ashriri	आश्रीरी
ashrvatath	आश्रवताथ
ashvtth	अश्वत्थ
asamaany	असामान्य
asamany	असमान्य
asmanye	असमान्य
asaamnjsy	असामंज्य
asamanjasy	असमानज्ञ
asamanjasya	असमंजायस
asurakshit	असुरक्षित
asurkshit	असुरक्षित
aset	एसेट
asset	एसेट
asvabhavik	अस्वभाविक
aswabhavik	अस्वाभाविक
aswbhavik	अस्वभाविक
ahirauli	अहिरावुली
item	इतेम
items	इतेम्स
idle	इडल
idol	आइडॉल
icc	आईसीसी
iso	आईएसए
ipc	आईपीसी
ipad	इपाद
iris	आइरिस
ounce	ऊंस
aakaash	आकाश
aakash	आकाश
aake	आले
aakhet	आखेत
akhet	अखेत
aagat	आगत
aagaman	आगमन
aagman	आगमान
aagaa	आगा
aagah	आगाह
agha	आघा
aagaashe	आग्षे
aagashe	आग्षे
agashe	अग्षे
aajmaanaa	आजमाना
aajmana	आजमाना
aazmaanaa	आजमाना
aata	आता
ata	अटा
atta	अट्टा
aatmayen	आत्मयें
atmaen	आत्माएं
aadaan	आदान
aadan	आदन
aadhaarit	आधारित
aadharit	आधारित
adharit	आधारित
aadheen	आधीन
aadhin	आधिन
aadhunik	आधुनिक
aanad	आनाद
aanand	आनंद
anand	आनंद
aapka	आपका
aapkaa	आपका
aapadaaaen	आपदाएं
aapdaein	आपदाएं
aapdayein	आपदाएं
aabantit	आजंतित
abantit	अजंतित
aabru	आब्रू
abaru	अबारु
aamdan	आमदान
amadan	आमादान
aamdani	आमदानी
amadani	अमादानी
aamdi	आमदी
amdi	आमडी
aamod	आमोद
amod	अमोद
aayenge	आयेंगे
aayojak	आयोजक
ro	रो
rp	आरपी
aaraam	आराम
aaram	आराम
aram	आराम
aarushi	आरुषि
arushi	आरुशी
artery	आर्टेरी
order	ऑर्डर
aary	आरे
aarya	आर्य
arya	आर्य
aaryika	आरियका
aryika	आरियका
aarya	आर्य
arya	आर्य
aryo	आरोय
aaryan	आर्यन
arya	आर्य
aryon	आरें
aalsi	आलसी
alasi	अलसी
aalochak	आलोचक
alochak	आलोचक
aalochakon	आलोचकों
alochakon	आलोचकों
aalha	आल्ह
aalhaa	आल्हा
alha	अल्हा
allah	अल्लाह
aawaazen	आवाजें
aawajen	आवाजें
awaazen	आवाजें
awazen	आवाजें
aawajon	आवाजों
aawazon	आवाजों
awaazon	आवाजों
awazon	आवाजों
aavishakaar	आविष्कार
aavishkaar	आविष्कार
avishkar	अविष्कार
aavriti	आवृति
aavritti	आवृत्ति
avuti	आवूटी
aavritiyon	आवृतियों
aavrittiyon	आवृतितियों
avrutiyon	आवृतियों
aashanka	आशांका
ashanka	आशांका
aashriton	आश्रितों
ashriton	आश्रितों
aasaan	आसान
aasan	आसन
asan	आसान
aastik	आस्तिक
astik	आस्तिक
aasteen	आस्तें
aastin	आस्तिन
astin	आस्तिन
aahnaan	आह्नान
aahnan	आहनान
ahyan	अह्यान
england	इंगलैड
engineer	इंजीनियर
introduction	इंटर्क्शक्शन
insurance	इंसर्नेस
ear	इयर
eyer	आयर
eon	इयोन
iaan	ईएएं
ekattha	इकट्ठा
ikattha	इक्टठा
ekatthi	इकट्थी
ekthi	इक्थी
ikatthi	इकटठी
ekaee	इकाई
ikai	इकाई
ekaeyon	इकाइयों
ikaiyon	ईकाइयों
ikarion	इकारियों
economic	इकोनॉमिक
ecuador	इकाउड़ो
equador	एकवास
equities	इक्वीशिय
ikvitija	इक्वितिजा
ijaajat	इजाज़त
ijajat	इज़ाजत
inhalation	इन्हालेशन
inhaletion	इन्हेलिशन
ibija	इबिजा
ibiza	इबिजा
imaging	इमाइजिंग
immune	इम्यून
elaichi	एलीकी
ilaichi	इलाइची
ilayachi	इलायाची
ilayichi	इलायिचि
elaaj	एलाज
ilaaj	इलाज
ilaj	इलाज
ishaak	इशाक
ishaaq	इशाक
ishak	इशाक
ishaara	इशारा
ishaaraa	इशारा
ishara	इशारा
ishita	इशिता
isht	इष्ट
isteefe	इस्तीफा
istife	इस्तफि
ea	इए
ia	इए
eater	एटर
iter	आईटर
email	एमाइल
emailon	एमायलों
emelon	एमिलों
evening	एवेंज
east	ईस्ट
ishat	इश्छत
isht	इष्ट
isaaiyon	ईसाईयों
isaiyon	ईसाइयों
isayiyon	ईसायियों
ikhrul	इखृचल
ukhrool	उख्रुल
ukhrul	उख्रुल
uchhalane	उछलने
uchhalne	उछलने
ujback	उजबाक
uzbek	उजबेक
uthane	उठाने
uthne	उठाने
uthaakar	उठाकर
uthakar	उठाकर
uthaapatak	उठपताक
uthapatak	उठपटक
uthen	उठाएं
udaan	उड़ान
udan	उदान
udaanaa	उड़ना
udana	उड़ना
udaane	उड़ाने
udane	उड़ने
udaanen	उदानें
udanen	उदानें
udaanon	उदानों
udanon	उदानों
utane	उताने
utaney	उतने
utne	उतने
uttara	उतरा
uttra	उतर्ता
utpan	उत्पन
udant	उदंत
udghosh	उद्घोष
udar	उदार
uda	उड़ा
udaa	उड़ा
udakishuganj	उदाकिष्गाण
udakishunganj	उदाकिषंग्णों
unatees	उनाटिस
untees	उन्तीस
uniyal	उनियाल
upadraviyon	उपदर्वियों
updravion	उपद्वरियों
updraviyon	उपद्रवायों
upadravi	उपदर्वी
updravi	उपद्रवी
upadrawon	उपदारवों
updravon	उपद्रवों
upneta	उपनेता
upabhokta	उपभक्ता
upbhokta	उपभक्त
uplaksh	उपलक्ष
uplakshay	उपलक्षय
uplakshya	उपलक्ष्य
uplabdh	उपलाब्ध
uplabdhiyon	उपलाबाधियों
uplabdhi	उपलाबदी
upakhyaanon	उपख्याओं
upakhyanon	उपख्यानों
ubuntu	उबूंतु
ubaal	उबाल
ubal	उबल
ubhaara	उभरा
ubhara	उभरा
umanath	उमानत
umesh	उम्शे
urf	ऊर्फ
urfa	उर्फा
urff	ऊरफ्फ
urvarakon	उर्वरकों
urvarkon	उर्वरकों
urwarakon	उर्वारकों
urvarata	उर्वरता
urvarta	उर्वर्ता
urwarta	ऊरवरता
ulate	उलाते
ulte	उलते
ulahana	उलाहना
ulahna	उलाहना
ulema	उलेमा
ulemaon	उल्मेयन
usak	उसक
usaki	उसकी
uski	उसकी
usmein	उसमें
usmen	उसमें
usi	उसी
ustara	उस्तरा
udharv	उद्धर
udhrva	उद्र्व्र
urdhav	उर्ध्व
ushma	उष्मा
rishicool	रिश्यूकल
rishikul	ऋषिकोल
rushikul	ऋषिकोल
enzyme	इनजिमा
anton	एंटन
entone	एन्टोन
antoni	एंटोनी
antony	एंटोनी
endometrial	एनडोमेशलर
andreas	एंड्रेस
als	अल्स
asi	एसी
eksaath	एक्सत
eksath	एक्सत
ekaki	एककी
xm	एचम्स
egmor	एजमर
egmore	एज़मोर
aj	आज
agende	एजेंड
adp	एडीपी
adain	अदानी
aden	आड़ें
edan	एडन
addi	आड्डी
eddi	एडीडी
eddie	एडीडी
eddy	एडीडी
apj	अपज
ftii	फ़ीटी
abbott	अब्ब्ट्ट
abut	आबूट
ebt	इफ्क
abvp	अबफ्प
abbot	अब्बोत
abbott	अब्ब्ट्ट
mta	एमटीए
mtake	मटेक
mtec	मेटीक
mtech	मेट
emerald	एमरेल्ड
emrald	एमर्ल्ड
emil	एमिल
emile	एमिले
emily	एमिली
amy	एम्य
emi	एमी
airway	एयरवे
eyarave	एयरवे
eyarve	एयर्वे
error	एरर
arica	एरिका
erica	एरिका
erika	एरिका
aerobic	एयरबिक
aerobics	एयरबिक्स
lte	लेट
lti	लटी
allergic	अल्रेजिक
eliminator	एलिमीनेटर
aliens	अलिज्स
alliance	एलायंस
asian	एशियाई
sfc	एसपीची
sk	एसीके
spf	एसपीफी
association	एसोसिएशन
astar	आस्तर
aster	एस्टर
ester	एस्टर
aesthetics	एस्थेटिक्स
asthetic	एस्थेटिक
asfalt	एसफॉल्ट
asphalt	असेफल्ट
asphault	एस्फॉट
ahsaas	अहसास
ehsaas	एहसास
ehsas	एहसास
aisa	ऐसा
eesa	एसा
ainth	ऐंठ
end	एंड
enth	ऐंठ
ainthey	ऐंठे
enthe	ऐंठे
aithan	ऐंठन
ethan	इथन
ethhan	इथान
ail	ऐल
el	एल
alaps	अलाप्स
alps	एल्प्स
aise	एसे
oxide	ऑक्सीड
oxy	ऑक्सी
offers	ऑफर्स
offshor	ऑफशियोर
offshore	ऑफशायर
official	ऑफिसियल
okalahoma	ओकलोहामा
oklahoma	ओकलोहामा
oklahoma	ओकलोहामा
ot	ओटी
opel	ओपेल
obrayan	ओब्रैन
obrien	ऑबरीन
oran	ओरन
orian	ओरियन
orion	ओरियन
olavrishti	ओलेवृष्टि
ovum	ओवम
owem	ओवर
oceanic	ओकेनिक
osaka	ओसका
auchity	आशिटी
auchitya	आछितिया
audhyogikaran	औद्योगिकारण
audyogikarana	औद्योगिकना
audyogikikaran	औद्योगिकिसालन
aurangabad	औरंगबद
aurora	औरोरा
aulakh	औकुख
kankad	कांकड़
kankar	कंकर
kankad	कांकड़
kankar	कंकर
kangan	कंगन
conjunction	कॉंजेशनों
contemporary	कंटीमर्वरी
kanthahar	कांठहर
kanthhar	कंठार
composer	कंपोसर
kambalon	कांबलों
kanblon	कांबलों
consultant	कंसल्टेंट
kakkad	काक्कड़
kakkar	कक्कर
kacche	कच्चे
kachche	कच्छे
karta	करता
katra	कतरा
cutlery	केटरी
katlari	कतलरी
katlary	कतलरी
katasaraj	कतसर्ज
kathfodave	कठोफवाड़े
kathfodve	कथफूरवे
kathor	कथोर
kathore	कथोरे
kanika	कनिका
kathai	कथाए
katthai	कट्ठाई
katthaii	कट्थाई
convention	कन्वेशन
canals	कैनाल्स
kanaal	कनाल
kanal	कनाल
kanindham	कनींधम
kaningham	कनिमघन
kanishthika	कनिष्ठिकता
kanishthikaa	कनिष्ठिका
kanishtika	कनिष्टिकता
kanyaayen	कन्याएं
kanyaein	कन्याएं
kanyayen	कन्याएं
convention	कन्वेशन
convocation	कन्योटेशन
cup	कप
kap	कप
kapda	कपड़ा
kpada	कपाड़ा
kapdo	कपड़ो
kapdon	कपड़ों
kaping	कापिंग
kping	क्पिंग
kapolkalpana	कॉपलकन्लापा
kabaddi	कबदड़ी
kabr	कब्र
kabra	कबरा
kabren	कब्रें
kabron	कब्रों
kamjor	कमजोर
kamzor	कम़ोजोर
kamatar	कमतर
kamtar	कमतर
kalamjeet	कलामजीत
kamaljeet	कमालजीत
kamaauu	कमाऊ
kamau	कमाऊ
kamaate	कमाते
kamate	कमते
kamere	कमेरे
kmere	कमरे
karanj	करांज
kranj	क्रांज
karanjiya	करंजिया
kardhe	कार्धे
karghe	कार्घे
karachana	कराचना
karchhana	कार्च्छन
karna	कर्ण
karpatri	कर्पत्री
karam	करम
karoor	करुर
karur	करुर
karnataka	कर्णताका
karvi	कारवी
kurvi	कुर्वी
kalmein	कालमें
kalmen	कलमें
kalraj	कलराज
kalika	कालिका
kalpanaon	कल्पनाओं
kalpnaon	कल्पनाओं
kavvaliyon	कववालियों
qawwaliyon	कवविलियों
kavvali	कववाली
qawwali	क़व्वाली
kashton	काश्तों
kasarat	कसरत
kasrat	कसरत
kasara	कसरा
kasida	कसीदा
kahane	कहाने
kahne	कहने
kahlaya	कहलाया
kahaniyon	कहानियों
kile	कीले
kanji	कांजी
cant	केंट
kant	कांत
kanti	कांटी
kakoo	काकू
kaku	काकु
kaagaj	कागज
kaagaz	कागज
kagaj	कागज
kagaz	कागज
kaaji	काजी
kaji	काजी
kazi	काजी
qazi	काज़ी
kajoo	काजू
kaju	काजू
kapadi	कपड़ी
kapdi	कपड़ी
kamraj	कमराज
kamottejana	कामतेत्गना
kamottejna	कामोत्तेगन
kailana	कैलना
kaylana	कायलाना
carfi	कारफी
karki	कारकी
kartik	कार्टिक
karyakartaon	कार्यकर्ताओं
karykartaaon	कार्यकर्ताओं
karykartaon	कार्यकर्ताओं
karyabhar	कार्यभर
karybhar	कार्यभर
karyarat	कार्यारत
karyrat	कार्यरत
kaalpi	कालपी
kalapi	कलापी
kalpi	कल्पी
kalika	कालिका
kalighat	कलीघात
coldvel	कॉल्डेवल
kaldvel	कालदवाल
kaldwell	काल्डविल
kaav	काव
kav	काव
kaasht	काश्त
kasht	काष्ट
kasim	कसीम
qasim	कासिम
kasimabad	कसीमाबाद
kiya	किया
kiliyan	किलियां
killat	किल्लत
killi	किल्ली
kisaani	किसानी
kisani	किसनी
kisanon	किसनों
keede	कीडे
kide	कीड़े
keynote	केयनोट
kinote	कीनोटे
kiratpur	किरातपुर
kundal	कुंडल
kundaliya	कुंडलीय
kundaliyan	कुंडलियां
kutta	कुट्टा
kuposhit	कुपोषित
kumau	कुमाऊ
kumavat	कुमावट
kumawat	कुमावट
kural	कुरल
kurmi	कुर्मी
kursiyon	कुर्सियों
kush	कुश
kushaan	कुशान
kushan	कुशान
kusumalataa	कुसुमलता
kusumalta	कुसुमलता
kusumlata	कुसुमलता
koot	कूट
kut	कुट
kritika	कृतिका
kpo	कपो
canterbari	कैंतरबारी
canterbury	कैंटरब्यू
candidate	कांडिडाट
katrina	काटरिना
caitlyn	कैकलीं
cateline	कैटेलिन
catlin	कैटलीन
cadmium	कैडमियम
catholic	कैथलिक
catholicon	कैथलिकों
kaetholikon	कैथ्लिकों
capacitor	कैपोकिटर
carat	कारत
cavity	केविटी
cavalry	केवलरी
kaivelari	कैवेलारी
complex	कंपाल्क्ट
kocchi	कोची
kochi	कोची
corridor	कॉर्डियर
corolla	कोरोला
korola	कोरोला
caolan	कॉलान
colan	कोलन
colon	कोलों
calling	कॉलिंग
koling	कोलिंग
colorado	कलोर्डो
kolorado	कोलोर्डों
kaushal	कौशल
kaushalata	कौशलता
kaushalta	कौशलता
kaushambi	कौशंबी
cute	कुटे
quete	क्वेट
cube	कूबे
cubeck	कूबेक
quebec	क्वाबिस
cubes	कूबेस
krantiyon	क्रांतियों
cric	क्रिक
crick	क्रिक
cricket	क्रिक्ट
cricketer	क्रिक्टेड
cricketing	क्रिकिटंग
kriyayog	क्रियायोग
christian	क्रिस्टियन
kruger	क्रूर
craig	क्रैग
creg	क्रेग
cradle	क्रैडल
chrom	क्रोम
chrome	क्रोमे
client	क्लिंट
clock	क्लॉक
clasen	क्लेसन
classen	क्लासेन
classon	क्लास्स
clay	क्ले
claris	क्लारिस
cleris	क्लीर्स
clerys	क्लायर्स
quantico	क्वांचिटों
queens	क्विंस
kshitij	क्षितिज
shitij	खिषीतिज
kshin	क्षीण
shin	क्षिन
kshetron	क्षेत्रों
shetron	क्षेत्रों
khand	खांड
khanda	खांडा
khachakhach	खाचचाच
khajarana	खजरना
khajraana	खजराना
khajrana	खजराना
khatakati	खतकती
khatakti	खटकती
kihatkati	किहाताकि
khattapan	खट्टपन
khat	खाट
khani	खानी
khanik	खानिक
khanikarm	खानीकर्म
khanikarma	खानीकर्मा
khanikarmi	खानीकर्मी
khapat	खपत
khariya	खरिया
khalnayak	खालनायक
khaaskar	खासकर
khaskar	खासकर
khaastaur	खासतौर
khastaur	खासतौर
khaibar	खैबर
khyber	खाब्यर
khaein	खाएं
khaen	खाएं
khayen	खाएं
khaate	खाते
khaatey	खाटे
khate	खाटे
khal	खल
khinchakar	खिंचकर
khinchkar	खिंचकर
khilana	खिलना
khinchkar	खिंचकर
khuda	खुदा
khudai	खुड़ाई
khurapka	खुरपका
khurpaka	खुरपाका
khurasan	खुरसन
khushiyan	खुशियां
khene	खेने
khaini	खानिय
khairati	खैराती
khoikhoi	खोखियों
khoya	खोया
gangrel	गांग्रेल
gangaajal	गंगाजल
gangajal	गंगाजल
gandaki	गंदाकी
gandki	गंदकी
gandh	गंध
gandha	गंधा
gae	गाई
gaye	गाये
gajara	गजरा
gajra	गजरा
gadkar	गाडकार
ganapati	गनपती
ganpati	गनपति
gatisheel	गतिशील
gatishil	गतिशील
gatishilata	गतिशिलता
gadadhar	गद्धार
gammat	गमतम
gaya	गाया
garibi	गर्बी
garjana	गरजाना
galgand	गैलगंड
gahmagahmi	गहमाधगी
gemhagehmi	जेमहगढ़ी
ganguly	गैंगुली
gaanth	गण्ठ
ganth	गंथ
gaanthe	गांथे
ganthe	गंठे
ganthen	गंथें
ganthon	गंथों
gaen	गैन
gayen	गाएं
gazi	गाजी
gajipur	गाजीपुर
gazipur	गाज़ीपुर
gayatri	गैथारी
gayitri	गैयतीर्
gaytri	गैत्री
gidgidate	गिड्गाइडट
ginate	गिनते
ginte	गिनते
girkar	गिरकर
girijaghar	गिरिजघर
girjaghar	गिरजाघर
girijagharon	गिरिजघरों
girjagharon	गिरजागरों
girati	गिराती
girti	गिरती
girish	गिरिश
guan	गुण
gujar	गुजर
gujarata	गुजराता
gujarta	गुजरता
gujarate	गुजराते
gujarte	गुजरते
gujarana	गुजराना
gujarna	गुजरना
gujara	गुजरा
gujare	गुजरे
gutta	गुट्टा
gthalidar	ग्लाफिड़ार
guthalidar	गुतालिगाड़ा
gudna	गुडना
gumaan	गुमान
guman	गुमन
gulshan	गुलशान
gunga	गुंगा
grihnagar	गृहनगर
gruhnagar	गृहनागर
galaxion	गैलेशियों
galaxiyon	गैलक्सियों
galaxyon	गैलक्षीन
gochar	गोचर
gouchar	गौचार
godara	गोदारा
gopichand	गोपीचंद
gomake	गोमके
gomke	गोमके
goel	गॉयल
goyal	गोयाल
gosvaami	गोस्वामी
gosvami	गोस्वामी
goswami	गोस्वामी
gaumukh	गौमुख
gomukh	गोमुख
gaumutr	गौमूत्र
gaumutra	गौमूत्र
gowmutra	गौमात्र
granthiyaan	ग्रांतियां
granthiyan	ग्रांतियां
